Id,Property,en-US,zh-Hans,zh-Hant,ru-RU,uk-UA
T1,Text,Network,网络,網路,Сеть,Мережа
T2,Text,Download Behavior,下载行为,下載行為,Поведение загрузки,Поведінка завантаження
Card1,Header,Current download source,当前下载源,目前下載來源,Текущий источник загрузки,Поточне джерело завантаження
Card1,Description,"Applicable to Minecraft original list pull and instance installation, loader installation, not applicable to other resource interfaces",适用于 Minecraft 原版列表拉取及实例安装、加载器安装，不适用于其他资源接口,適用於 Minecraft 原版清單拉取及實例安裝、載入器安裝，不適用於其他資源接口,"Применимо к установке исходного списка Minecraft и экземпляра, а также к установке загрузчика. Не применимо к другим интерфейсам ресурсов.","Стосується витягування оригінального списку та встановлення екземпляра Minecraft, встановлення завантажувача, не стосується інших інтерфейсів ресурсів"
Card2,Header,Community-provided mirror interfaces (Mcim),社区提供的镜像接口 (Mcim),社區提供的鏡像介面 (Mcim),Предоставленные сообществом зеркальные интерфейсы (Mcim),"Інтерфейси дзеркала, надані спільнотою (Mcim)"
Card2,Description,Mirror interfaces for third-party resources (for CurseForge and Modrinth),第三方资源的镜像接口（适用于 CurseForge 和 Modrinth）,第三方資源的鏡像介面（適用於 CurseForge 和 Modrinth）,Зеркальные интерфейсы для сторонних ресурсов (для CurseForge и Modrinth),Інтерфейси дзеркала для сторонніх ресурсів (для CurseForge та Modrinth)
Card3,Header,Maximum number of download threads,最大下载线程数,最大下載線程數,Максимальное количество потоков загрузки,Максимальна кількість потоків завантаження
Card3,Description,We recommend that this value should not be higher than 64. Too high a number of download threads may be considered an attack or an unreasonable request by the server and the connection may be rejected.,此值应不超过 64。下载线程数量过高可能会被服务器视为攻击或不合理请求，从而导致连接被拒绝,此值應不超過 64。下載線程數量過高可能會被伺服器視為攻擊或不合理請求，從而導致連線被拒絕,"Мы рекомендуем, чтобы это значение не превышало 64. Слишком большое количество потоков загрузки может быть расценено сервером как атака или необоснованный запрос, и соединение может быть отклонено.","Ми рекомендуємо, щоб це значення не перевищувало 64. Занадто велика кількість потоків завантаження може розглядатися сервером як атака або необґрунтований запит, і з'єднання може бути відхилено."
Card4,Header,Enable fragmented download of large files,启用大文件分片下载,啟用大文件分片下載,Включить фрагментированную загрузку больших файлов.,Увімкнути фрагментоване завантаження великих файлів
Card4,Description,Can effectively speed up when encountering large files,遇到大文件时可以有效加速,遇到大檔案時可以有效加速,Может эффективно ускорять загрузку больших файлов.,Може ефективно пришвидшити роботу з великими файлами
Card5,Header,Number of download shards,下载分片数量,下載分片數量,Количество сегментов загрузки.,Кількість шардів завантаження
Card5,Description,We recommend that this value should not be higher than 8. Too high a number of shards will create more connection requests and cause the server to reject the connection. request by the server and the connection may be rejected.,此值应不超过 8。过高的分片数量会创建更多的连接请求导致服务器拒绝连接,此值應不超過 8。過高的分片數量會創建更多的連接請求導致伺服器拒絕連接,"Мы рекомендуем, чтобы это значение не превышало 8. Слишком большое количество шардов создаст больше запросов на подключение и приведет к тому, что сервер отклонит запрос, и подключение может быть отклонено.","Ми рекомендуємо, щоб це значення не перевищувало 8. Занадто велика кількість шардів створить більше запитів на з'єднання та призведе до відхилення сервером з'єднання. запит сервером, і з'єднання може бути відхилено."
Card6,Header,Maximum number of retries when download fails,下载失败时的最大重试次数,下載失敗時的最大重試次數,Максимальное количество повторных попыток при сбое загрузки,Максимальна кількість повторних спроб у разі невдалого завантаження
Item1,Content,Official Download Sources (except OptiFine),官方下载源（OptiFine 除外）,官方下載來源（OptiFine 除外）,Official Download Sources (except OptiFine),Офіційні джерела завантаження (крім OptiFine)
Item2,Content,bangbang93's Mirror Download Source,bangbang93 的镜像下载源,bangbang93 的鏡像下載來源,bangbang93's Mirror Download Source,Джерело дзеркала завантаження bangbang93
