Id,Property,en-US,zh-Hans,zh-Hant,ru-RU,uk-UA
Card1,Description,Navigate to the launch task page or stay on the home page to control the launch task using the launch button,转到启动任务页面或是留在主页由启动按钮控制该启动任务,前往啟動任務頁面或是留在主頁由啟動按鈕控制該啟動任務,"Перейдите на страницу задачи запуска или оставайтесь на главной странице, чтобы управлять задачей запуска с помощью кнопки запуска.","Перейдіть на сторінку завдання запуску або залишайтеся на головній сторінці, щоб керувати завданням запуску за допомогою кнопки запуску."
Card1,Header,Behavior of the launcher window after clicking the home page launch button,主页启动按钮点击后行为,主頁啟動按鈕點擊後行為,Поведение окна лаунчера после нажатия кнопки запуска на главной странице.,Поведінка вікна запуску після натискання кнопки запуску на головній сторінці.
Card2,Header,Behavior of the launcher window after the instance is launched,实例启动后启动器窗口行为,實例啟動後啟動器視窗行為,Поведение окна лаунчера после запуска экземпляра.,Поведінка вікна запуску після запуску екземпляра.
Card3,Description,Currently only supports Chinese language search for mod resources,目前仅支持中文搜索模组资源时提供建议,目前僅支援中文搜尋模組資源時提供建議,В настоящее время поддерживается только поиск ресурсов модов на китайском языке.,Наразі підтримується пошук ресурсів модів лише китайською мовою.
Card3,Header,Localized suggestions are provided during resource searches,资源搜索时提供本地化建议,資源搜尋時提供本地化建議,При поиске ресурсов отображаются локализованные подсказки.,Локалізовані пропозиції надаються під час пошуку ресурсів.
Card4,Description,These files will be cleaned up when the launcher is deleted,启动器删除时，这些文件将被一起清理,啟動器刪除時，這些檔案將會一起清理,Эти файлы будут удалены при удалении лаунчера.,Ці файли будуть очищені після видалення запуску.
Card4,Header,Launcher storage folder,启动器存储文件夹,啟動器儲存資料夾,Папка хранения лаунчера.,Папка сховища запуску.
Card5,Description,"When the launcher is running, relevant operation logs will be recorded in this folder. These logs are only stored locally",启动器运行时，将会在该文件夹下记录相关运行日志，这些日志只会在本地存储,啟動器運行時，將會在該資料夾下記錄相關運行日誌，這些日誌只會在本機存儲,При запуске лаунчера соответствующие журналы операций будут записываться в эту папку. Эти журналы хранятся только локально.,Під час роботи запуску запуску відповідні журнали операцій будуть записані в цю папку. Ці журнали зберігаються лише локально.
Card5,Header,Launcher log folder,启动器日志文件夹,啟動器日誌資料夾,Папка журнала лаунчера.,Папка журналів запуску.
Card6,Description,Maximum number of items in the Latest group to keep in the taskbar,任务栏中保留的最近组中项目的最大数量,工作列中保留的最近組中項目的最大數量,Максимальное количество элементов в группе «Последние» для сохранения на панели задач,"Максимальна кількість елементів у групі «Останні», які залишаються на панелі завдань"
Card6,Header,Latest item maximum number,最近项的最大数量,最近項的最大數量,Максимальное количество последних элементов,Максимальна кількість останнього елемента
T1,Text,Launcher Behavior,启动器行为,啟動器行為,Поведение лаунчера,Поведінка запуску
T2,Text,Launcher Storage,启动器存储,啟動器儲存,Настройки хранилища лаунчера,Налаштування сховища запуску
T3,Text,Launcher Logs,启动器日志,啟動器日誌,Журналы лаунчера,Журнали запуску
T4,Text,System Integration,系统集成,系統整合,Системная интеграция,Системна інтеграція
_Items1,,Go to launch task page;Control via launch button,转到启动任务页面;由启动按钮继续控制,轉到啟動任務頁面;由啟動按鈕繼續控制,Перейти на страницу задач запуска;Управление с помощью кнопки запуска,Перейти на сторінку запуску завдання;Керування за допомогою кнопки запуску
_Items2,,No action;Minimize main window;Open log window &amp; minimize main,无行为;最小化主窗口;打开日志窗口并最小化主窗口,無行為;最小化主視窗;開啟日誌視窗並最小化主視窗,Никаких действий;Свернуть главное окно;Открыть окно журнала и свернуть главное окно,Без дій;Згорнути головне вікно;Відкрити вікно журналу та згорнути головне
